iter	Passed	Remaining
531	17273	112603
532	17309	112594
533	17338	112541
534	17378	112553
535	17413	112537
536	17459	112592
537	17498	112603
538	17538	112615
539	17571	112588
540	17607	112576
541	17640	112547
542	17681	112568
543	17723	112596
544	17765	112624
545	17803	112627
546	17837	112601
547	17868	112558
548	17894	112481
549	17928	112458
550	17961	112428
551	17991	112384
552	18025	112360
553	18055	112307
554	18090	112288
555	18132	112315
556	18167	112297
557	18202	112282
558	18235	112248
559	18269	112227
560	18299	112176
561	18328	112122
562	18357	112068
563	18392	112048
564	18430	112048
565	18460	112004
566	18491	111961
567	18529	111957
568	18565	111950
569	18605	111962
570	18645	111968
571	18681	111958
572	18721	111970
573	18756	111953
574	18791	111930
575	18839	111988
576	18880	112009
577	18914	111981
578	18955	111994
579	18990	111978
580	19022	111942
581	19062	111950
582	19104	111973
583	19138	111948
584	19165	111879
585	19203	111880
586	19242	111881
587	19279	111871
588	19315	111856
589	19348	111826
590	19380	111792
591	19408	111727
592	19444	111716
593	19475	111671
594	19510	111652
595	19541	111612
596	19578	111600
597	19613	111581
598	19646	111549
599	19682	111535
600	19717	111512
601	19741	111429
602	19774	111398
603	19817	111424
604	19848	111381
605	19884	111368
606	19924	111371
607	19964	111380
608	20002	111375
609	20029	111309
610	20072	111337
611	20111	111334
612	20140	111279
613	20167	111217
614	20194	111154
615	20233	111150
616	20267	111128
617	20294	111060
618	20324	111010
619	20363	111012
620	20401	111010
621	20435	110982
622	20476	110992
623	20511	110971
624	20545	110943
625	20572	110882
626	20596	110799
627	20625	110748
628	20660	110727
629	20692	110689
630	20727	110668
631	20763	110653
632	20809	110688
633	20845	110672
634	20871	110605
635	20910	110602
636	20945	110577
637	20984	110578
638	21012	110523
639	21050	110513
640	21082	110475
641	21118	110461
642	21154	110442
643	21193	110441
644	21229	110424
645	21264	110402
646	21299	110384
647	21335	110367
648	21369	110338
649	21402	110307
650	21437	110284
651	21471	110257
652	21515	110280
653	21552	110266
654	21592	110268
655	21631	110265
656	21662	110225
657	21688	110158
658	21723	110133
659	21759	110114
660	21792	110084
661	21823	110040
662	21853	109991
663	21887	109963
664	21929	109978
665	21965	109960
666	22005	109963
667	22045	109965
668	22084	109961
669	22119	109937
670	22152	109903
671	22185	109872
672	22217	109830
673	22254	109818
674	22289	109795
675	22331	109807
676	22363	109767
677	22401	109760
678	22432	109720
679	22470	109707
680	22504	109678
681	22537	109646
682	22570	109614
683	22607	109598
684	22647	109598
685	22688	109604
686	22724	109584
687	22756	109549
688	22790	109519
689	22824	109493
690	22862	109483
691	22908	109512
692	22960	109566
693	22995	109544
694	23032	109530
695	23068	109508
696	23107	109504
697	23143	109486
698	23179	109462
699	23212	109432
700	23252	109430
701	23301	109471
702	23337	109450
703	23371	109423
704	23415	109436
705	23454	109431
706	23495	109436
707	23525	109386
708	23564	109381
709	23601	109366
710	23642	109367
711	23677	109344
712	23716	109336
713	23757	109337
714	23794	109323
715	23819	109251
716	23848	109196
717	23875	109134
718	23903	109079
719	23926	108996
720	23948	108913
721	23970	108830
722	23997	108767
723	24024	108707
724	24052	108652
725	24086	108622
726	24114	108563
727	24136	108481
728	24159	108404
729	24184	108333
730	24207	108254
731	24229	108172
732	24251	108088
733	24276	108018
734	24298	107937
735	24319	107850
736	24343	107776
737	24371	107724
738	24398	107661
739	24421	107587
740	24448	107527
741	24472	107456
742	24500	107401
743	24527	107340
744	24551	107267
745	24574	107191
746	24601	107135
747	24630	107084
748	24656	107022
749	24690	106993
750	24715	106924
751	24738	106848
752	24766	106793
753	24790	106725
754	24818	106668
755	24841	106595
756	24868	106537
757	24895	106478
758	24918	106405
759	24943	106336
760	24966	106261
761	24989	106188
762	25015	106125
763	25049	106101
764	25078	106049
765	25106	105999
766	25129	105926
767	25155	105863
768	25180	105795
769	25208	105743
770	25234	105684
771	25258	105616
772	25291	105583
773	25316	105516
774	25365	105553
775	25398	105520
776	25430	105487
777	25467	105472
778	25501	105442
779	25528	105385
780	25554	105325
781	25583	105277
782	25618	105254
783	25645	105199
784	25675	105153
785	25699	105085
786	25732	105055
787	25758	104996
788	25808	105032
789	25843	105009
790	25874	104968
791	25915	104971
792	25951	104951
793	25993	104957
794	26020	104899
795	26055	104878
796	26089	104850
797	26129	104846
798	26166	104828
799	26203	104813
800	26241	104801
801	26279	104789
802	26306	104735
803	26335	104686
804	26368	104653
805	26404	104635
806	26433	104587
807	26471	104574
808	26510	104567
809	26546	104547
810	26582	104527
811	26620	104516
812	26657	104497
813	26687	104456
814	26720	104423
815	26758	104410
816	26790	104374
817	26824	104347
818	26862	104333
819	26895	104303
820	26936	104302
821	26982	104317
822	27013	104277
823	27052	104269
824	27086	104241
825	27131	104257
826	27168	104237
827	27211	104245
828	27248	104229
829	27290	104231
830	27329	104220
831	27363	104190
832	27399	104171
833	27431	104135
834	27469	104119
835	27503	104092
836	27532	104042
837	27569	104026
838	27613	104035
839	27656	104042
840	27694	104029
841	27743	104055
842	27783	104049
843	27821	104032
844	27853	103996
845	27891	103981
846	27926	103957
847	27962	103934
848	27986	103869
849	28024	103856
850	28060	103834
851	28095	103809
852	28136	103805
853	28178	103804
854	28220	103805
855	28262	103803
856	28299	103788
857	28336	103768
858	28369	103736
859	28396	103680
860	28422	103622
861	28461	103609
862	28495	103582
863	28532	103562
864	28567	103535
865	28601	103507
866	28633	103471
867	28664	103430
868	28703	103419
869	28737	103388
870	28772	103364
871	28805	103328
872	28841	103306
873	28879	103293
874	28922	103293
875	28955	103261
876	28995	103251
877	29030	103226
878	29065	103199
879	29091	103144
880	29130	103129
881	29165	103104
882	29200	103079
883	29229	103028
884	29270	103023
885	29302	102989
886	29336	102957
887	29367	102919
888	29390	102849
889	29421	102811
890	29453	102774
891	29491	102757
892	29529	102742
893	29563	102711
894	29606	102712
895	29635	102667
896	29678	102668
897	29713	102641
898	29746	102606
899	29781	102581
900	29817	102558
901	29858	102550
902	29897	102538
903	29932	102513
904	29970	102496
905	30003	102463
906	30038	102435
907	30073	102407
908	30108	102383
909	30152	102386
910	30177	102326
911	30200	102258
912	30223	102189
913	30247	102127
914	30274	102072
915	30296	102002
916	30319	101934
917	30350	101897
918	30383	101862
919	30405	101792
920	30428	101725
921	30452	101662
922	30480	101614
923	30505	101553
924	30532	101501
925	30554	101429
926	30577	101364
927	30606	101316
928	30632	101263
929	30656	101200
930	30690	101169
931	30719	101124
932	30749	101080
933	30784	101053
934	30815	101014
935	30847	100979
936	30876	100933
937	30904	100885
938	30930	100830
939	30958	100780
940	30990	100745
941	31019	100696
942	31048	100652
943	31075	100600
944	31101	100544
945	31131	100502
946	31161	100461
947	31186	100403
948	31216	100359
949	31255	100347
950	31284	100300
951	31316	100263
952	31361	100272
953	31386	100212
954	31408	100145
955	31434	100091
956	31463	100046
957	31490	99992
958	31514	99931
959	31554	99922
960	31576	99856
961	31602	99799
962	31624	99733
963	31645	99665
964	31670	99605
965	31695	99549
966	31721	99494
967	31749	99445
968	31779	99406
969	31807	99357
970	31836	99311
971	31861	99256
972	31886	99199
973	31911	99142
974	31935	99082
975	31970	99057
976	32003	99022
977	32031	98977
978	32054	98912
979	32078	98852
980	32101	98790
981	32134	98760
982	32158	98700
983	32187	98655
984	32222	98629
985	32254	98594
986	32282	98548
987	32310	98501
988	32334	98443
989	32365	98404
990	32390	98348
991	32415	98290
992	32443	98246
993	32467	98187
994	32492	98131
995	32523	98093
996	32549	98041
997	32571	97975
998	32609	97960
999	32650	97952
1000	32677	97902
1001	32705	97855
1002	32729	97797
1003	32756	97748
1004	32792	97723
1005	32827	97699
1006	32856	97656
1007	32893	97636
1008	32947	97666
1009	32982	97640
1010	33007	97587
1011	33033	97534
1012	33064	97494
1013	33094	97456
1014	33126	97420
1015	33154	97373
1016	33183	97332
1017	33209	97279
1018	33240	97242
1019	33262	97179
1020	33287	97124
1021	33318	97085
1022	33350	97053
1023	33376	96999
1024	33402	96948
1025	33425	96888
1026	33451	96835
1027	33473	96774
1028	33497	96717
1029	33528	96679
1030	33552	96622
1031	33577	96568
1032	33610	96535
1033	33635	96482
1034	33661	96430
1035	33693	96398
1036	33749	96431
1037	33781	96396
1038	33807	96345
1039	33833	96295
1040	33862	96252
1041	33887	96197
1042	33916	96156
1043	33941	96101
1044	33963	96040
1045	33986	95979
1046	34009	95921
1047	34031	95861
1048	34058	95811
1049	34088	95773
1050	34113	95719
1051	34141	95674
1052	34169	95629
1053	34211	95623
1054	34249	95607
1055	34283	95579
1056	34308	95525
1057	34333	95470
1058	34358	95417
1059	34385	95370
1060	34408	95311
1061	34435	95266
1062	34459	95209
1063	34486	95161
1064	34518	95128
1065	34544	95079
1066	34571	95030
1067	34596	94977
1068	34619	94921
1069	34645	94870
1070	34675	94830
1071	34698	94772
1072	34727	94732
1073	34754	94685
1074	34779	94632
1075	34804	94581
1076	34834	94540
1077	34858	94486
1078	34886	94441
1079	34913	94396
1080	34945	94361
1081	34973	94319
1082	34999	94267
1083	35022	94213
1084	35046	94156
1085	35078	94122
1086	35100	94065
1087	35124	94009
1088	35148	93956
1089	35173	93903
1090	35200	93856
1091	35225	93804
1092	35251	93756
1093	35283	93724
1094	35309	93673
1095	35332	93619
1096	35361	93576
1097	35392	93541
1098	35422	93502
1099	35447	93453
1100	35471	93399
1101	35497	93348
1102	35527	93313
1103	35552	93260
1104	35578	93213
1105	35613	93186
1106	35640	93140
1107	35665	93090
1108	35691	93041
1109	35719	92998
1110	35748	92958
1111	35773	92908
1112	35801	92865
1113	35840	92851
1114	35871	92816
1115	35908	92795
1116	35933	92746
1117	35960	92699
1118	35988	92657
1119	36016	92614
1120	36039	92557
1121	36062	92502
1122	36088	92455
1123	36112	92402
1124	36136	92347
1125	36160	92294
1126	36185	92245
1127	36208	92189
1128	36238	92152
1129	36263	92103
1130	36295	92069
1131	36318	92016
1132	36342	91962
1133	36370	91921
1134	36405	91896
1135	36431	91848
1136	36457	91800
1137	36488	91766
